Type;MP;Beta
hat;0.05;1,00350719985381e+00
hat;0.05;8,30957244949799e-01
hat;0.05;1,09587349305410e+00
hat;0.05;1,16052516956003e+00
hat;0.05;1,20858518507446e+00
hat;0.05;8,08180944986095e-01
hat;0.05;1,11767154369354e+00
hat;0.05;9,82194397202597e-01
hat;0.05;7,90429042955628e-01
hat;0.05;4,83776863513032e-01
hat;0.05;6,38070594937142e-01
hat;0.05;1,31870823248602e+00
hat;0.05;1,00900592182523e+00
hat;0.05;1,08529866813712e+00
hat;0.05;1,03592640379693e+00
hat;0.05;1,22725506049333e+00
hat;0.05;4,06624136210067e-01
hat;0.05;7,99940429869973e-01
hat;0.05;1,06674127567300e+00
hat;0.05;9,38395260958406e-01
hat;0.05;7,15576728492152e-01
hat;0.05;8,41066508808554e-01
hat;0.05;9,01426259160131e-01
hat;0.05;7,90018844183279e-01
hat;0.05;9,03990103528281e-01
hat;0.05;1,14129048906069e+00
hat;0.05;5,35348370291656e-01
hat;0.05;9,94508416189456e-01
hat;0.05;1,44818224259855e+00
hat;0.05;8,33231665159302e-01
hat;0.05;8,36518688938727e-01
hat;0.05;9,63648735747776e-01
hat;0.05;6,92598416574982e-01
hat;0.05;9,67116931825886e-01
hat;0.05;9,67169483011116e-01
hat;0.05;8,57242876949242e-01
hat;0.05;8,75186936382139e-01
hat;0.05;5,05258128095506e-01
hat;0.05;1,02542718430700e+00
hat;0.05;8,85554230430805e-01
hat;0.05;5,92948948499591e-01
hat;0.05;8,81882101411957e-01
hat;0.05;7,87230464113859e-01
hat;0.05;8,82196303694303e-01
hat;0.05;1,18562513070868e+00
hat;0.05;1,24133038014045e+00
hat;0.05;3,31109270761138e-01
hat;0.05;6,48718089838786e-01
hat;0.05;7,57394326650611e-01
hat;0.05;1,09229537993638e+00
hat;0.05;7,83673892308593e-01
hat;0.05;7,73898098079729e-01
hat;0.05;1,13019734762155e+00
hat;0.05;1,16271422462506e+00
hat;0.05;1,03657308144796e+00
hat;0.05;5,82737652505035e-01
hat;0.05;9,18512234636161e-01
hat;0.05;6,63566722334598e-01
